timestamp,cpu_percent
2026-05-25 14:36:09+00:00,0.08001440259246649
2026-05-25 14:36:24+00:00,2.0002000200020005
2026-05-25 14:36:39+00:00,9.63903609639036
2026-05-25 14:36:54+00:00,12.838459384873815
2026-05-25 14:37:09+00:00,16.119355225790965
2026-05-25 14:37:24+00:00,16.379344826206953
2026-05-25 14:37:39+00:00,15.920000000000002
2026-05-25 14:37:54+00:00,17.499650006999858
2026-05-25 14:38:09+00:00,18.98037960759215
2026-05-25 14:38:24+00:00,21.139577208455833
2026-05-25 14:38:39+00:00,26.420000000000005
2026-05-25 14:38:54+00:00,28.01943961120778
2026-05-25 14:39:09+00:00,32.02
2026-05-25 14:39:24+00:00,33.03999999999999
2026-05-25 14:39:39+00:00,36.53999999999999
2026-05-25 14:39:54+00:00,37.44
2026-05-25 14:40:09+00:00,40.58081161623234
2026-05-25 14:40:24+00:00,41.92167686707467
2026-05-25 14:40:39+00:00,41.48082961659235
2026-05-25 14:40:54+00:00,42.03999999999999
2026-05-25 14:41:09+00:00,38.22
2026-05-25 14:41:24+00:00,35.040700814016276
2026-05-25 14:41:39+00:00,32.400000000000006
2026-05-25 14:41:54+00:00,29.47941041179175
2026-05-25 14:42:09+00:00,25.082508250825068
2026-05-25 14:42:24+00:00,28.501140045601826
2026-05-25 14:42:39+00:00,43.02000000000001
2026-05-25 14:42:54+00:00,51.95999999999999
2026-05-25 14:43:09+00:00,60.07837178615699
2026-05-25 14:43:24+00:00,59.78717446093531
2026-05-25 14:43:39+00:00,49.24590950914108
2026-05-25 14:43:54+00:00,42.463397071765776
2026-05-25 14:44:09+00:00,25.818450892946416
2026-05-25 14:44:24+00:00,17.279802191918918
2026-05-25 14:44:39+00:00,9.220922092209191
2026-05-25 14:44:54+00:00,6.300882123497301
2026-05-25 14:45:09+00:00,6.04630365759144
2026-05-25 14:45:24+00:00,7.821251400224037
2026-05-25 14:45:39+00:00,9.701164139696763
2026-05-25 14:45:54+00:00,9.161465834533526
2026-05-25 14:46:09+00:00,6.820136402728054
2026-05-25 14:46:24+00:00,6.540392423545413
2026-05-25 14:46:39+00:00,7.6201524030480625
2026-05-25 14:46:54+00:00,8.520511230673842
2026-05-25 14:47:09+00:00,10.08
2026-05-25 14:47:24+00:00,10.060402416096643
2026-05-25 14:47:39+00:00,10.66
