timestamp,value_ms
2026-05-25 14:36:39+00:00,24.07226120837415
2026-05-25 14:36:54+00:00,21.866814445956226
2026-05-25 14:37:09+00:00,17.524167667968854
2026-05-25 14:37:24+00:00,18.50400000000002
2026-05-25 14:37:39+00:00,13.187304048831965
2026-05-25 14:37:54+00:00,11.877304964538991
2026-05-25 14:38:09+00:00,11.361424332344209
2026-05-25 14:38:24+00:00,11.950323043790375
2026-05-25 14:38:39+00:00,16.955339805825236
2026-05-25 14:38:54+00:00,15.949190710767065
2026-05-25 14:39:09+00:00,17.406846846846808
2026-05-25 14:39:24+00:00,16.290592334494804
2026-05-25 14:39:39+00:00,15.541053353920052
2026-05-25 14:39:54+00:00,15.785343561286112
2026-05-25 14:40:09+00:00,15.772967401108104
2026-05-25 14:40:24+00:00,15.695210237659966
2026-05-25 14:40:39+00:00,15.758601960089742
2026-05-25 14:40:54+00:00,15.765586034912717
2026-05-25 14:41:09+00:00,15.635114503816792
2026-05-25 14:41:24+00:00,15.114980214810624
2026-05-25 14:41:39+00:00,15.669438444924408
2026-05-25 14:41:54+00:00,16.816149068322897
2026-05-25 14:42:09+00:00,25.56118143459915
2026-05-25 14:42:24+00:00,58.36321122369448
2026-05-25 14:42:39+00:00,107.90472279260784
2026-05-25 14:42:54+00:00,101.99447295696797
2026-05-25 14:43:09+00:00,114.54780447390223
2026-05-25 14:43:24+00:00,117.9524345295829
2026-05-25 14:43:39+00:00,119.37825095057032
2026-05-25 14:43:54+00:00,117.35624502784405
2026-05-25 14:44:09+00:00,86.39170984455946
2026-05-25 14:44:24+00:00,27.006593406593407
2026-05-25 14:44:39+00:00,26.967741935483854
2026-05-25 14:44:54+00:00,250.20845070422533
2026-05-25 14:45:09+00:00,250.97976441369997
2026-05-25 14:45:24+00:00,250.5857425906245
2026-05-25 14:45:39+00:00,250.43490699295674
2026-05-25 14:45:54+00:00,249.89919156414763
2026-05-25 14:46:09+00:00,249.9197195442594
2026-05-25 14:46:24+00:00,249.60000000000002
2026-05-25 14:46:39+00:00,249.60000000000002
2026-05-25 14:48:09+00:00,13.205985000739295
2026-05-25 14:48:24+00:00,14.107884910211167
2026-05-25 14:48:39+00:00,14.626732657862348
2026-05-25 14:48:54+00:00,14.362541806020058
2026-05-25 14:49:09+00:00,12.776824034334757
2026-05-25 14:49:24+00:00,11.950666666666658
2026-05-25 14:49:39+00:00,11.332642487046627
2026-05-25 14:49:54+00:00,11.748874598070723
2026-05-25 14:50:09+00:00,12.886573146292587
2026-05-25 14:50:24+00:00,13.171112022979072
2026-05-25 14:50:39+00:00,14.331062124248499
2026-05-25 14:50:54+00:00,14.636342538872132
2026-05-25 14:51:09+00:00,21.979862700228843
2026-05-25 14:51:24+00:00,19.96446637877848
2026-05-25 14:51:39+00:00,21.126653306613196
2026-05-25 14:51:54+00:00,25.42134831460671
2026-05-25 14:52:09+00:00,19.014300518134686
2026-05-25 14:52:24+00:00,16.063734862970023
2026-05-25 14:52:39+00:00,14.627015090172982
2026-05-25 14:52:54+00:00,14.37387505460899
2026-05-25 14:53:09+00:00,13.168232848232849
2026-05-25 14:53:24+00:00,11.426030719482613
2026-05-25 14:53:39+00:00,10.669438669438675
2026-05-25 14:53:54+00:00,30.065446716899867
2026-05-25 14:54:09+00:00,51.86640876853642
2026-05-25 14:54:24+00:00,60.79680580762249
2026-05-25 14:54:39+00:00,83.96179450072344
2026-05-25 14:54:54+00:00,109.37821373257611
2026-05-25 14:55:09+00:00,116.78666666666668
2026-05-25 14:55:24+00:00,123.12628086988573
2026-05-25 14:55:39+00:00,71.49236947791164
2026-05-25 14:55:54+00:00,25.745833333333337
2026-05-25 14:56:09+00:00,240.36608344549126
2026-05-25 14:56:24+00:00,249.0461090909091
2026-05-25 14:56:39+00:00,250.9785608534455
2026-05-25 14:56:54+00:00,250.72481004294679
2026-05-25 14:57:09+00:00,250.39089430894307
2026-05-25 14:57:24+00:00,250.4960943257185
2026-05-25 14:57:39+00:00,249.6
2026-05-25 14:57:54+00:00,249.6
2026-05-25 14:59:24+00:00,14.706191091203861
2026-05-25 14:59:39+00:00,15.180952380952373
2026-05-25 14:59:54+00:00,14.372726402408611
2026-05-25 15:00:09+00:00,13.652918287937743
2026-05-25 15:00:24+00:00,11.717735849056595
2026-05-25 15:00:39+00:00,15.341348973607037
2026-05-25 15:00:54+00:00,20.02666666666667
2026-05-25 15:01:09+00:00,26.946869712351948
2026-05-25 15:01:24+00:00,27.993604263824086
2026-05-25 15:01:39+00:00,34.08219178082184
2026-05-25 15:01:54+00:00,33.58297872340426
2026-05-25 15:02:09+00:00,46.452509652509626
2026-05-25 15:02:24+00:00,44.84472681067345
2026-05-25 15:02:39+00:00,35.17940953822851
2026-05-25 15:02:54+00:00,31.831894185175944
2026-05-25 15:03:09+00:00,30.9014250169645
2026-05-25 15:03:24+00:00,30.82949061662199
2026-05-25 15:03:39+00:00,28.996790371113338
2026-05-25 15:03:54+00:00,29.117085684966646
2026-05-25 15:04:09+00:00,26.610276008492576
2026-05-25 15:04:24+00:00,16.729999999999958
2026-05-25 15:04:39+00:00,14.405933014354062
2026-05-25 15:04:54+00:00,14.523321299638987
2026-05-25 15:05:09+00:00,58.75646457268077
2026-05-25 15:05:24+00:00,54.49685788411645
2026-05-25 15:05:39+00:00,58.04656684203424
2026-05-25 15:05:54+00:00,58.17618079096042
2026-05-25 15:06:09+00:00,57.974911010187775
2026-05-25 15:06:24+00:00,54.914149983033575
2026-05-25 15:06:39+00:00,53.48588021778585
2026-05-25 15:06:54+00:00,48.20807174887893
2026-05-25 15:07:09+00:00,15.22419354838709
2026-05-25 15:07:24+00:00,224.51801566579633
2026-05-25 15:07:39+00:00,250.6011399620013
2026-05-25 15:07:54+00:00,250.30571413383683
2026-05-25 15:08:09+00:00,250.05644043818515
2026-05-25 15:08:24+00:00,249.71658676893577
2026-05-25 15:08:39+00:00,249.6
2026-05-25 15:08:54+00:00,249.6
2026-05-25 15:09:09+00:00,249.6
2026-05-25 15:10:39+00:00,19.41436136868832
2026-05-25 15:10:54+00:00,15.890664462853685
2026-05-25 15:11:09+00:00,15.41278855191832
2026-05-25 15:11:24+00:00,14.814973262032085
2026-05-25 15:11:39+00:00,15.01487603305785
2026-05-25 15:11:54+00:00,15.835582822085886
2026-05-25 15:12:09+00:00,15.748297792742237
