timestamp,total
2026-05-05 12:58:42.197000+00:00,106.0
2026-05-05 12:58:52.197000+00:00,106.0
2026-05-05 12:59:02.197000+00:00,106.0
2026-05-05 12:59:12.197000+00:00,106.0
2026-05-05 12:59:22.197000+00:00,106.0
2026-05-05 12:59:32.197000+00:00,106.0
2026-05-05 12:59:42.197000+00:00,106.0
2026-05-05 12:59:52.197000+00:00,106.0
2026-05-05 13:00:02.197000+00:00,106.0
2026-05-05 13:00:12.197000+00:00,106.0
2026-05-05 13:00:22.197000+00:00,106.0
2026-05-05 13:00:32.197000+00:00,106.0
2026-05-05 13:00:42.197000+00:00,106.0
2026-05-05 13:00:52.197000+00:00,106.0
2026-05-05 13:01:02.197000+00:00,106.0
2026-05-05 13:01:12.197000+00:00,106.0
2026-05-05 13:01:22.197000+00:00,106.0
2026-05-05 13:01:32.197000+00:00,106.0
2026-05-05 13:01:42.197000+00:00,106.0
2026-05-05 13:01:52.197000+00:00,106.0
2026-05-05 13:02:02.197000+00:00,106.0
2026-05-05 13:02:12.197000+00:00,106.0
2026-05-05 13:02:22.197000+00:00,106.0
2026-05-05 13:02:32.197000+00:00,106.0
2026-05-05 13:02:42.197000+00:00,106.0
2026-05-05 13:02:52.197000+00:00,106.0
2026-05-05 13:03:02.197000+00:00,106.0
2026-05-05 13:03:12.197000+00:00,106.0
2026-05-05 13:03:22.197000+00:00,106.0
2026-05-05 13:03:32.197000+00:00,106.0
2026-05-05 13:03:42.197000+00:00,106.0
2026-05-05 13:03:52.197000+00:00,106.0
2026-05-05 13:04:02.197000+00:00,106.0
2026-05-05 13:04:12.197000+00:00,106.0
2026-05-05 13:04:22.197000+00:00,106.0
2026-05-05 13:04:32.197000+00:00,106.0
2026-05-05 13:04:42.197000+00:00,106.0
2026-05-05 13:04:52.197000+00:00,106.0
2026-05-05 13:05:02.197000+00:00,106.0
2026-05-05 13:05:12.197000+00:00,106.0
2026-05-05 13:05:22.197000+00:00,106.0
2026-05-05 13:05:32.197000+00:00,106.0
2026-05-05 13:05:42.197000+00:00,106.0
2026-05-05 13:05:52.197000+00:00,106.0
2026-05-05 13:06:02.197000+00:00,106.0
2026-05-05 13:06:12.197000+00:00,106.0
2026-05-05 13:06:22.197000+00:00,106.0
2026-05-05 13:06:32.197000+00:00,106.0
2026-05-05 13:06:42.197000+00:00,106.0
2026-05-05 13:06:52.197000+00:00,106.0
2026-05-05 13:07:02.197000+00:00,106.0
2026-05-05 13:07:12.197000+00:00,106.0
2026-05-05 13:07:22.197000+00:00,106.0
2026-05-05 13:07:32.197000+00:00,106.0
2026-05-05 13:07:42.197000+00:00,106.0
2026-05-05 13:07:52.197000+00:00,106.0
2026-05-05 13:08:02.197000+00:00,106.0
2026-05-05 13:08:12.197000+00:00,106.0
2026-05-05 13:08:22.197000+00:00,106.0
2026-05-05 13:08:32.197000+00:00,106.0
2026-05-05 13:08:42.197000+00:00,106.0
2026-05-05 13:08:52.197000+00:00,106.0
2026-05-05 13:12:32.197000+00:00,10.0
2026-05-05 13:12:42.197000+00:00,30.0
2026-05-05 13:12:52.197000+00:00,110.0
2026-05-05 13:13:02.197000+00:00,120.0
2026-05-05 13:13:12.197000+00:00,120.0
2026-05-05 13:13:22.197000+00:00,120.0
2026-05-05 13:13:32.197000+00:00,120.0
2026-05-05 13:13:32.197000+00:00,1.0
2026-05-05 13:13:42.197000+00:00,1.0
2026-05-05 13:13:42.197000+00:00,120.0
2026-05-05 13:13:52.197000+00:00,1.0
2026-05-05 13:13:52.197000+00:00,120.0
2026-05-05 13:14:02.197000+00:00,1.0
2026-05-05 13:14:02.197000+00:00,120.0
2026-05-05 13:14:12.197000+00:00,1.0
2026-05-05 13:14:12.197000+00:00,120.0
2026-05-05 13:14:22.197000+00:00,1.0
2026-05-05 13:14:22.197000+00:00,120.0
2026-05-05 13:14:32.197000+00:00,120.0
2026-05-05 13:14:32.197000+00:00,1.0
2026-05-05 13:14:42.197000+00:00,1.0
2026-05-05 13:14:42.197000+00:00,120.0
2026-05-05 13:14:52.197000+00:00,1.0
2026-05-05 13:14:52.197000+00:00,120.0
2026-05-05 13:15:02.197000+00:00,1.0
2026-05-05 13:15:02.197000+00:00,120.0
2026-05-05 13:15:12.197000+00:00,120.0
2026-05-05 13:15:12.197000+00:00,1.0
