timestamp,bytes
2026-05-05 12:53:42.197000+00:00,3825664.0
2026-05-05 12:53:52.197000+00:00,4579328.0
2026-05-05 12:54:02.197000+00:00,5062656.0
2026-05-05 12:54:12.197000+00:00,6094848.0
2026-05-05 12:54:22.197000+00:00,6307840.0
2026-05-05 12:54:32.197000+00:00,6365184.0
2026-05-05 12:54:42.197000+00:00,5898240.0
2026-05-05 12:54:52.197000+00:00,6094848.0
2026-05-05 12:55:02.197000+00:00,6258688.0
2026-05-05 12:55:12.197000+00:00,6356992.0
2026-05-05 12:55:22.197000+00:00,7372800.0
2026-05-05 12:55:32.197000+00:00,7593984.0
2026-05-05 12:55:42.197000+00:00,7708672.0
2026-05-05 12:55:52.197000+00:00,8716288.0
2026-05-05 12:56:02.197000+00:00,8773632.0
2026-05-05 12:56:12.197000+00:00,8929280.0
2026-05-05 12:56:22.197000+00:00,6438912.0
2026-05-05 12:56:32.197000+00:00,6553600.0
2026-05-05 12:56:42.197000+00:00,6758400.0
2026-05-05 12:56:52.197000+00:00,6881280.0
2026-05-05 12:57:02.197000+00:00,6955008.0
2026-05-05 12:57:12.197000+00:00,7913472.0
2026-05-05 12:57:22.197000+00:00,8036352.0
2026-05-05 12:57:32.197000+00:00,8110080.0
2026-05-05 12:57:42.197000+00:00,3817472.0
2026-05-05 12:57:52.197000+00:00,4276224.0
2026-05-05 12:58:02.197000+00:00,4489216.0
2026-05-05 12:58:12.197000+00:00,5029888.0
2026-05-05 12:58:22.197000+00:00,5152768.0
2026-05-05 12:58:32.197000+00:00,5332992.0
2026-05-05 12:58:42.197000+00:00,5914624.0
2026-05-05 12:58:52.197000+00:00,4874240.0
2026-05-05 12:59:02.197000+00:00,5726208.0
2026-05-05 12:59:12.197000+00:00,6111232.0
2026-05-05 12:59:22.197000+00:00,5857280.0
2026-05-05 12:59:32.197000+00:00,6971392.0
2026-05-05 12:59:42.197000+00:00,6037504.0
2026-05-05 12:59:52.197000+00:00,6963200.0
2026-05-05 13:00:02.197000+00:00,6406144.0
2026-05-05 13:00:12.197000+00:00,7405568.0
2026-05-05 13:00:22.197000+00:00,6447104.0
2026-05-05 13:00:32.197000+00:00,7069696.0
2026-05-05 13:00:42.197000+00:00,7323648.0
2026-05-05 13:00:52.197000+00:00,7872512.0
2026-05-05 13:01:02.197000+00:00,6561792.0
2026-05-05 13:01:12.197000+00:00,6225920.0
2026-05-05 13:01:22.197000+00:00,8019968.0
2026-05-05 13:01:32.197000+00:00,7634944.0
2026-05-05 13:01:42.197000+00:00,6692864.0
2026-05-05 13:01:52.197000+00:00,7282688.0
2026-05-05 13:02:02.197000+00:00,7241728.0
2026-05-05 13:02:12.197000+00:00,7528448.0
2026-05-05 13:02:22.197000+00:00,7938048.0
2026-05-05 13:02:32.197000+00:00,6979584.0
2026-05-05 13:02:42.197000+00:00,7258112.0
2026-05-05 13:02:52.197000+00:00,7839744.0
2026-05-05 13:03:02.197000+00:00,6897664.0
2026-05-05 13:03:12.197000+00:00,8077312.0
2026-05-05 13:03:22.197000+00:00,7331840.0
2026-05-05 13:03:32.197000+00:00,6873088.0
2026-05-05 13:03:42.197000+00:00,5775360.0
2026-05-05 13:03:52.197000+00:00,4603904.0
2026-05-05 13:04:02.197000+00:00,5373952.0
2026-05-05 13:04:12.197000+00:00,4882432.0
2026-05-05 13:04:22.197000+00:00,5496832.0
2026-05-05 13:04:32.197000+00:00,6619136.0
2026-05-05 13:04:42.197000+00:00,9412608.0
2026-05-05 13:04:52.197000+00:00,8192000.0
2026-05-05 13:05:02.197000+00:00,9134080.0
2026-05-05 13:05:12.197000+00:00,10690560.0
2026-05-05 13:05:22.197000+00:00,8380416.0
2026-05-05 13:05:32.197000+00:00,10600448.0
2026-05-05 13:05:42.197000+00:00,10387456.0
2026-05-05 13:05:52.197000+00:00,10911744.0
2026-05-05 13:06:02.197000+00:00,10174464.0
2026-05-05 13:06:12.197000+00:00,8773632.0
2026-05-05 13:06:22.197000+00:00,9461760.0
2026-05-05 13:06:32.197000+00:00,4661248.0
2026-05-05 13:06:42.197000+00:00,5341184.0
2026-05-05 13:06:52.197000+00:00,6602752.0
2026-05-05 13:07:02.197000+00:00,6422528.0
2026-05-05 13:07:12.197000+00:00,6971392.0
2026-05-05 13:07:22.197000+00:00,5832704.0
2026-05-05 13:07:32.197000+00:00,5980160.0
2026-05-05 13:07:42.197000+00:00,6389760.0
2026-05-05 13:07:52.197000+00:00,5259264.0
2026-05-05 13:08:02.197000+00:00,6848512.0
2026-05-05 13:08:12.197000+00:00,5414912.0
2026-05-05 13:08:22.197000+00:00,4603904.0
2026-05-05 13:08:32.197000+00:00,6537216.0
2026-05-05 13:08:42.197000+00:00,6717440.0
2026-05-05 13:08:52.197000+00:00,6135808.0
2026-05-05 13:09:02.197000+00:00,6103040.0
2026-05-05 13:09:12.197000+00:00,5750784.0
2026-05-05 13:09:22.197000+00:00,6742016.0
2026-05-05 13:09:32.197000+00:00,5898240.0
2026-05-05 13:09:42.197000+00:00,5693440.0
2026-05-05 13:09:52.197000+00:00,5816320.0
2026-05-05 13:10:02.197000+00:00,6324224.0
2026-05-05 13:10:12.197000+00:00,5988352.0
2026-05-05 13:10:22.197000+00:00,6004736.0
2026-05-05 13:10:32.197000+00:00,5718016.0
2026-05-05 13:10:42.197000+00:00,5914624.0
2026-05-05 13:10:52.197000+00:00,5398528.0
2026-05-05 13:11:02.197000+00:00,5791744.0
2026-05-05 13:11:12.197000+00:00,6864896.0
2026-05-05 13:11:22.197000+00:00,5603328.0
2026-05-05 13:11:32.197000+00:00,4882432.0
2026-05-05 13:11:42.197000+00:00,5373952.0
2026-05-05 13:11:52.197000+00:00,5619712.0
2026-05-05 13:12:02.197000+00:00,5758976.0
2026-05-05 13:12:12.197000+00:00,5947392.0
2026-05-05 13:12:22.197000+00:00,6955008.0
2026-05-05 13:12:32.197000+00:00,7225344.0
2026-05-05 13:12:42.197000+00:00,8650752.0
2026-05-05 13:12:52.197000+00:00,8454144.0
2026-05-05 13:13:02.197000+00:00,8601600.0
2026-05-05 13:13:12.197000+00:00,6488064.0
2026-05-05 13:13:22.197000+00:00,5693440.0
2026-05-05 13:13:32.197000+00:00,5668864.0
2026-05-05 13:13:42.197000+00:00,6389760.0
2026-05-05 13:13:52.197000+00:00,5939200.0
2026-05-05 13:14:02.197000+00:00,6160384.0
2026-05-05 13:14:12.197000+00:00,6324224.0
2026-05-05 13:14:22.197000+00:00,6447104.0
2026-05-05 13:14:32.197000+00:00,5898240.0
2026-05-05 13:14:42.197000+00:00,5177344.0
2026-05-05 13:14:52.197000+00:00,5562368.0
2026-05-05 13:15:02.197000+00:00,5398528.0
2026-05-05 13:15:12.197000+00:00,4980736.0
2026-05-05 13:15:22.197000+00:00,5357568.0
2026-05-05 13:15:32.197000+00:00,5439488.0
2026-05-05 13:15:42.197000+00:00,5349376.0
2026-05-05 13:15:52.197000+00:00,5455872.0
2026-05-05 13:16:02.197000+00:00,4702208.0
2026-05-05 13:16:12.197000+00:00,5726208.0
2026-05-05 13:16:22.197000+00:00,5570560.0
2026-05-05 13:16:32.197000+00:00,5062656.0
2026-05-05 13:16:42.197000+00:00,5849088.0
2026-05-05 13:16:52.197000+00:00,4431872.0
2026-05-05 13:17:02.197000+00:00,5505024.0
2026-05-05 13:17:12.197000+00:00,4956160.0
2026-05-05 13:17:22.197000+00:00,4620288.0
2026-05-05 13:17:32.197000+00:00,5013504.0
2026-05-05 13:17:42.197000+00:00,4341760.0
2026-05-05 13:17:52.197000+00:00,4784128.0
2026-05-05 13:18:02.197000+00:00,5152768.0
2026-05-05 13:18:12.197000+00:00,5046272.0
2026-05-05 13:18:22.197000+00:00,5152768.0
2026-05-05 13:18:32.197000+00:00,4751360.0
2026-05-05 13:18:42.197000+00:00,5660672.0
2026-05-05 13:18:52.197000+00:00,4538368.0
2026-05-05 13:19:02.197000+00:00,5267456.0
2026-05-05 13:19:12.197000+00:00,4628480.0
2026-05-05 13:19:22.197000+00:00,4915200.0
2026-05-05 13:19:32.197000+00:00,4792320.0
2026-05-05 13:19:42.197000+00:00,5316608.0
2026-05-05 13:19:52.197000+00:00,5578752.0
2026-05-05 13:20:02.197000+00:00,5505024.0
2026-05-05 13:20:12.197000+00:00,5464064.0
2026-05-05 13:20:22.197000+00:00,5505024.0
2026-05-05 13:20:32.197000+00:00,4636672.0
2026-05-05 13:20:42.197000+00:00,4857856.0
