timestamp,topic,lag
2026-05-05 12:58:42.197000+00:00,orders.placed,2.0
2026-05-05 12:58:52.197000+00:00,orders.placed,5.0
2026-05-05 12:59:02.197000+00:00,orders.placed,165.0
2026-05-05 12:59:12.197000+00:00,orders.placed,1374.0
2026-05-05 12:59:22.197000+00:00,orders.placed,3665.0
2026-05-05 12:59:32.197000+00:00,orders.placed,7140.0
2026-05-05 12:59:42.197000+00:00,orders.placed,11864.0
2026-05-05 12:59:52.197000+00:00,orders.placed,17665.0
2026-05-05 13:00:02.197000+00:00,orders.placed,24692.0
2026-05-05 13:00:12.197000+00:00,orders.placed,32343.0
2026-05-05 13:00:22.197000+00:00,orders.placed,40864.0
2026-05-05 13:00:32.197000+00:00,orders.placed,50063.0
2026-05-05 13:00:42.197000+00:00,orders.placed,59924.0
2026-05-05 13:00:52.197000+00:00,orders.placed,70847.0
2026-05-05 13:01:02.197000+00:00,orders.placed,81230.0
2026-05-05 13:01:12.197000+00:00,orders.placed,93009.0
2026-05-05 13:01:22.197000+00:00,orders.placed,104684.0
2026-05-05 13:01:32.197000+00:00,orders.placed,116525.0
2026-05-05 13:01:42.197000+00:00,orders.placed,129427.0
2026-05-05 13:01:52.197000+00:00,orders.placed,144200.0
2026-05-05 13:02:02.197000+00:00,orders.placed,159233.0
2026-05-05 13:02:12.197000+00:00,orders.placed,172869.0
2026-05-05 13:02:22.197000+00:00,orders.placed,186268.0
2026-05-05 13:02:32.197000+00:00,orders.placed,198402.0
2026-05-05 13:02:42.197000+00:00,orders.placed,209040.0
2026-05-05 13:02:52.197000+00:00,orders.placed,218545.0
2026-05-05 13:03:02.197000+00:00,orders.placed,226410.0
2026-05-05 13:03:12.197000+00:00,orders.placed,231852.0
2026-05-05 13:03:22.197000+00:00,orders.placed,234350.0
2026-05-05 13:03:32.197000+00:00,orders.placed,233967.0
2026-05-05 13:03:42.197000+00:00,orders.placed,232565.0
2026-05-05 13:03:52.197000+00:00,orders.placed,231211.0
2026-05-05 13:04:02.197000+00:00,orders.placed,229831.0
2026-05-05 13:04:12.197000+00:00,orders.placed,228590.0
2026-05-05 13:04:22.197000+00:00,orders.placed,228202.0
2026-05-05 13:04:32.197000+00:00,orders.placed,237369.0
2026-05-05 13:04:42.197000+00:00,orders.placed,254679.0
