timestamp,total
2026-05-05 12:53:52.197000+00:00,0.0
2026-05-05 12:54:02.197000+00:00,0.0
2026-05-05 12:54:12.197000+00:00,0.0
2026-05-05 12:54:22.197000+00:00,0.0
2026-05-05 12:54:32.197000+00:00,0.0
2026-05-05 12:54:42.197000+00:00,0.0
2026-05-05 12:54:52.197000+00:00,0.0
2026-05-05 12:55:02.197000+00:00,0.0
2026-05-05 12:55:12.197000+00:00,0.0
2026-05-05 12:55:22.197000+00:00,0.0
2026-05-05 12:55:32.197000+00:00,0.0
2026-05-05 12:55:42.197000+00:00,0.0
2026-05-05 12:55:52.197000+00:00,0.0
2026-05-05 12:56:02.197000+00:00,0.0
2026-05-05 12:56:12.197000+00:00,0.0
2026-05-05 12:56:22.197000+00:00,0.0
2026-05-05 12:56:32.197000+00:00,0.0
2026-05-05 12:56:42.197000+00:00,0.0
2026-05-05 12:56:52.197000+00:00,0.0
2026-05-05 12:57:02.197000+00:00,0.0
2026-05-05 12:57:12.197000+00:00,0.0
2026-05-05 12:57:22.197000+00:00,0.0
2026-05-05 12:57:32.197000+00:00,0.0
2026-05-05 12:57:42.197000+00:00,0.0
2026-05-05 12:57:52.197000+00:00,0.0
2026-05-05 12:58:02.197000+00:00,0.0
2026-05-05 12:58:12.197000+00:00,0.0
2026-05-05 12:58:22.197000+00:00,0.0
2026-05-05 12:58:32.197000+00:00,0.0
2026-05-05 12:58:42.197000+00:00,63.0
2026-05-05 12:58:52.197000+00:00,407.0
2026-05-05 12:59:02.197000+00:00,1064.0
2026-05-05 12:59:12.197000+00:00,2100.0
2026-05-05 12:59:22.197000+00:00,3738.0
2026-05-05 12:59:32.197000+00:00,5968.0
2026-05-05 12:59:42.197000+00:00,8735.0
2026-05-05 12:59:52.197000+00:00,12083.0
2026-05-05 13:00:02.197000+00:00,16007.0
2026-05-05 13:00:12.197000+00:00,20323.0
2026-05-05 13:00:22.197000+00:00,25058.0
2026-05-05 13:00:32.197000+00:00,30241.0
2026-05-05 13:00:42.197000+00:00,35619.0
2026-05-05 13:00:52.197000+00:00,41498.0
