timestamp,total
2026-05-05 13:12:22.197000+00:00,21.0
2026-05-05 13:12:32.197000+00:00,62.0
2026-05-05 13:12:42.197000+00:00,82.0
2026-05-05 13:12:52.197000+00:00,122.0
2026-05-05 13:13:02.197000+00:00,142.0
2026-05-05 13:13:02.197000+00:00,1.0
2026-05-05 13:13:12.197000+00:00,163.0
2026-05-05 13:13:12.197000+00:00,2.0
2026-05-05 13:13:22.197000+00:00,163.0
2026-05-05 13:13:22.197000+00:00,2.0
2026-05-05 13:13:32.197000+00:00,163.0
2026-05-05 13:13:32.197000+00:00,2.0
2026-05-05 13:13:42.197000+00:00,163.0
2026-05-05 13:13:42.197000+00:00,2.0
2026-05-05 13:13:52.197000+00:00,2.0
2026-05-05 13:13:52.197000+00:00,163.0
2026-05-05 13:14:02.197000+00:00,163.0
2026-05-05 13:14:02.197000+00:00,2.0
2026-05-05 13:14:12.197000+00:00,163.0
2026-05-05 13:14:12.197000+00:00,2.0
2026-05-05 13:14:22.197000+00:00,2.0
2026-05-05 13:14:22.197000+00:00,163.0
2026-05-05 13:14:32.197000+00:00,2.0
2026-05-05 13:14:32.197000+00:00,163.0
2026-05-05 13:14:42.197000+00:00,2.0
2026-05-05 13:14:42.197000+00:00,163.0
2026-05-05 13:14:52.197000+00:00,163.0
2026-05-05 13:14:52.197000+00:00,2.0
2026-05-05 13:15:02.197000+00:00,163.0
2026-05-05 13:15:02.197000+00:00,2.0
2026-05-05 13:15:12.197000+00:00,163.0
2026-05-05 13:15:12.197000+00:00,2.0
2026-05-05 13:15:22.197000+00:00,163.0
2026-05-05 13:15:22.197000+00:00,2.0
2026-05-05 13:15:32.197000+00:00,163.0
2026-05-05 13:15:32.197000+00:00,2.0
2026-05-05 13:15:42.197000+00:00,163.0
2026-05-05 13:15:42.197000+00:00,2.0
2026-05-05 13:15:52.197000+00:00,163.0
2026-05-05 13:15:52.197000+00:00,2.0
2026-05-05 13:16:02.197000+00:00,2.0
2026-05-05 13:16:02.197000+00:00,163.0
2026-05-05 13:16:12.197000+00:00,163.0
2026-05-05 13:16:12.197000+00:00,2.0
2026-05-05 13:16:22.197000+00:00,163.0
2026-05-05 13:16:22.197000+00:00,2.0
2026-05-05 13:16:32.197000+00:00,2.0
2026-05-05 13:16:32.197000+00:00,163.0
2026-05-05 13:16:42.197000+00:00,163.0
2026-05-05 13:16:42.197000+00:00,2.0
2026-05-05 13:16:52.197000+00:00,2.0
2026-05-05 13:16:52.197000+00:00,163.0
2026-05-05 13:17:02.197000+00:00,2.0
2026-05-05 13:17:02.197000+00:00,163.0
2026-05-05 13:17:12.197000+00:00,163.0
2026-05-05 13:17:12.197000+00:00,2.0
2026-05-05 13:17:22.197000+00:00,163.0
2026-05-05 13:17:22.197000+00:00,2.0
2026-05-05 13:17:32.197000+00:00,2.0
2026-05-05 13:17:32.197000+00:00,163.0
2026-05-05 13:17:42.197000+00:00,2.0
2026-05-05 13:17:42.197000+00:00,163.0
