timestamp,total
2026-05-05 12:53:52.197000+00:00,0.0
2026-05-05 12:54:02.197000+00:00,0.0
2026-05-05 12:54:12.197000+00:00,0.0
2026-05-05 12:54:22.197000+00:00,0.0
2026-05-05 12:54:32.197000+00:00,0.0
2026-05-05 12:54:42.197000+00:00,0.0
2026-05-05 12:54:52.197000+00:00,0.0
2026-05-05 12:55:02.197000+00:00,0.0
2026-05-05 12:55:12.197000+00:00,0.0
2026-05-05 12:55:22.197000+00:00,0.0
2026-05-05 12:55:32.197000+00:00,0.0
2026-05-05 12:55:42.197000+00:00,0.0
2026-05-05 12:55:52.197000+00:00,0.0
2026-05-05 12:56:02.197000+00:00,0.0
2026-05-05 12:56:12.197000+00:00,0.0
2026-05-05 12:56:22.197000+00:00,0.0
2026-05-05 12:56:32.197000+00:00,0.0
2026-05-05 12:56:42.197000+00:00,0.0
2026-05-05 12:56:52.197000+00:00,0.0
2026-05-05 12:57:02.197000+00:00,0.0
2026-05-05 12:57:12.197000+00:00,0.0
2026-05-05 12:57:22.197000+00:00,0.0
2026-05-05 12:57:32.197000+00:00,0.0
2026-05-05 12:57:42.197000+00:00,0.0
2026-05-05 12:57:52.197000+00:00,0.0
2026-05-05 12:58:02.197000+00:00,0.0
2026-05-05 12:58:12.197000+00:00,0.0
2026-05-05 12:58:22.197000+00:00,0.0
2026-05-05 12:58:32.197000+00:00,0.0
2026-05-05 12:58:42.197000+00:00,123.0
2026-05-05 12:58:52.197000+00:00,814.0
2026-05-05 12:59:02.197000+00:00,2079.0
2026-05-05 12:59:12.197000+00:00,3416.0
2026-05-05 12:59:22.197000+00:00,4848.0
2026-05-05 12:59:32.197000+00:00,6291.0
2026-05-05 12:59:42.197000+00:00,7656.0
2026-05-05 12:59:52.197000+00:00,8966.0
2026-05-05 13:00:02.197000+00:00,10291.0
2026-05-05 13:00:12.197000+00:00,11453.0
2026-05-05 13:00:22.197000+00:00,12740.0
2026-05-05 13:00:32.197000+00:00,14067.0
2026-05-05 13:00:42.197000+00:00,15308.0
2026-05-05 13:00:52.197000+00:00,16643.0
