timestamp,rps
2026-05-25 14:36:09+00:00,0.0
2026-05-25 14:36:24+00:00,3.401924192419242
2026-05-25 14:36:39+00:00,17.418897443588975
2026-05-25 14:36:54+00:00,23.675034662507166
2026-05-25 14:37:09+00:00,34.39305127794889
2026-05-25 14:37:24+00:00,41.61833526658934
2026-05-25 14:37:39+00:00,95.44
2026-05-25 14:37:54+00:00,142.09715805683885
2026-05-25 14:38:09+00:00,252.72505450109003
2026-05-25 14:38:24+00:00,310.4937901241975
2026-05-25 14:38:39+00:00,402.62
2026-05-25 14:38:54+00:00,447.5110497790044
2026-05-25 14:39:09+00:00,520.9
2026-05-25 14:39:24+00:00,556.58
2026-05-25 14:39:39+00:00,628.34
2026-05-25 14:39:54+00:00,662.12
2026-05-25 14:40:09+00:00,731.1146222924459
2026-05-25 14:40:24+00:00,761.7504700188007
2026-05-25 14:40:39+00:00,776.5955319106382
2026-05-25 14:40:54+00:00,751.1
2026-05-25 14:41:09+00:00,646.86
2026-05-25 14:41:24+00:00,578.3715674313487
2026-05-25 14:41:39+00:00,391.56
2026-05-25 14:41:54+00:00,279.7744045119098
2026-05-25 14:42:09+00:00,111.6911691169117
2026-05-25 14:42:24+00:00,151.6660666426657
2026-05-25 14:42:39+00:00,313.56
2026-05-25 14:42:54+00:00,420.82
2026-05-25 14:43:09+00:00,493.422367947539
2026-05-25 14:43:24+00:00,475.3370404448534
2026-05-25 14:43:39+00:00,347.24166900028007
2026-05-25 14:43:54+00:00,273.82190575246017
2026-05-25 14:44:09+00:00,107.81353118812872
2026-05-25 14:44:24+00:00,44.966099782099676
2026-05-25 14:44:39+00:00,18.461846184618462
2026-05-25 14:44:54+00:00,10.981537415238133
2026-05-25 14:45:09+00:00,22.051881297032427
2026-05-25 14:45:24+00:00,32.89733424014509
2026-05-25 14:45:39+00:00,46.4587150458055
2026-05-25 14:45:54+00:00,46.7274763962234
2026-05-25 14:46:09+00:00,37.4007480149603
2026-05-25 14:46:24+00:00,28.12168730123808
2026-05-25 14:46:39+00:00,9.400188003760077
2026-05-25 14:46:54+00:00,0.0
2026-05-25 14:47:09+00:00,0.0
2026-05-25 14:47:24+00:00,0.0
2026-05-25 14:47:39+00:00,0.0
2026-05-25 14:47:54+00:00,3.3251531697300614
2026-05-25 14:48:09+00:00,18.626613
2026-05-25 14:48:24+00:00,25.03744891360148
2026-05-25 14:48:39+00:00,33.73578043121724
2026-05-25 14:48:54+00:00,41.20082401648033
2026-05-25 14:49:09+00:00,89.54
2026-05-25 14:49:24+00:00,136.14000000000001
2026-05-25 14:49:39+00:00,244.54
2026-05-25 14:49:54+00:00,303.3860677213545
2026-05-25 14:50:09+00:00,405.79623184927397
2026-05-25 14:50:24+00:00,450.6490129802597
2026-05-25 14:50:39+00:00,524.62
2026-05-25 14:50:54+00:00,558.9111782235645
2026-05-25 14:51:09+00:00,607.0
2026-05-25 14:51:24+00:00,645.1870962580748
2026-05-25 14:51:39+00:00,712.7657446851063
2026-05-25 14:51:54+00:00,730.4892195687827
2026-05-25 14:52:09+00:00,769.3153863077264
2026-05-25 14:52:24+00:00,751.9750395007901
2026-05-25 14:52:39+00:00,666.58
2026-05-25 14:52:54+00:00,596.1519230384608
2026-05-25 14:53:09+00:00,419.90000000000003
2026-05-25 14:53:24+00:00,310.3062061241225
2026-05-25 14:53:39+00:00,136.3227264545291
2026-05-25 14:53:54+00:00,211.5442308846177
2026-05-25 14:54:09+00:00,426.2
