timestamp,topic,lag
2026-05-05 12:58:42.197000+00:00,orders.placed,4.0
2026-05-05 12:58:52.197000+00:00,orders.placed,152.0
2026-05-05 12:59:02.197000+00:00,orders.placed,856.0
2026-05-05 12:59:12.197000+00:00,orders.placed,2584.0
2026-05-05 12:59:22.197000+00:00,orders.placed,5468.0
2026-05-05 12:59:32.197000+00:00,orders.placed,9494.0
2026-05-05 12:59:42.197000+00:00,orders.placed,14721.0
2026-05-05 12:59:52.197000+00:00,orders.placed,21078.0
2026-05-05 13:00:02.197000+00:00,orders.placed,28526.0
2026-05-05 13:00:12.197000+00:00,orders.placed,36665.0
2026-05-05 13:00:22.197000+00:00,orders.placed,45633.0
2026-05-05 13:00:32.197000+00:00,orders.placed,55344.0
2026-05-05 13:00:42.197000+00:00,orders.placed,65680.0
2026-05-05 13:00:52.197000+00:00,orders.placed,77090.0
2026-05-05 13:01:02.197000+00:00,orders.placed,87726.0
2026-05-05 13:01:12.197000+00:00,orders.placed,99861.0
2026-05-05 13:01:22.197000+00:00,orders.placed,111774.0
2026-05-05 13:01:32.197000+00:00,orders.placed,123856.0
2026-05-05 13:01:42.197000+00:00,orders.placed,136972.0
2026-05-05 13:01:52.197000+00:00,orders.placed,152134.0
2026-05-05 13:02:02.197000+00:00,orders.placed,167438.0
2026-05-05 13:02:12.197000+00:00,orders.placed,181322.0
2026-05-05 13:02:22.197000+00:00,orders.placed,195046.0
2026-05-05 13:02:32.197000+00:00,orders.placed,207636.0
2026-05-05 13:02:42.197000+00:00,orders.placed,218755.0
2026-05-05 13:02:52.197000+00:00,orders.placed,228795.0
2026-05-05 13:03:02.197000+00:00,orders.placed,237174.0
2026-05-05 13:03:12.197000+00:00,orders.placed,243141.0
2026-05-05 13:03:22.197000+00:00,orders.placed,246202.0
2026-05-05 13:03:32.197000+00:00,orders.placed,246376.0
2026-05-05 13:03:42.197000+00:00,orders.placed,245530.0
2026-05-05 13:03:52.197000+00:00,orders.placed,244698.0
2026-05-05 13:04:02.197000+00:00,orders.placed,243858.0
2026-05-05 13:04:12.197000+00:00,orders.placed,243192.0
2026-05-05 13:04:22.197000+00:00,orders.placed,243375.0
2026-05-05 13:04:32.197000+00:00,orders.placed,252978.0
2026-05-05 13:04:42.197000+00:00,orders.placed,270202.0
2026-05-05 13:04:52.197000+00:00,orders.placed,290251.0
2026-05-05 13:05:02.197000+00:00,orders.placed,308078.0
2026-05-05 13:05:12.197000+00:00,orders.placed,328845.0
2026-05-05 13:05:22.197000+00:00,orders.placed,348788.0
2026-05-05 13:05:32.197000+00:00,orders.placed,371568.0
2026-05-05 13:05:42.197000+00:00,orders.placed,388879.0
2026-05-05 13:05:52.197000+00:00,orders.placed,390966.0
2026-05-05 13:06:02.197000+00:00,orders.placed,391887.0
2026-05-05 13:06:12.197000+00:00,orders.placed,392812.0
2026-05-05 13:06:22.197000+00:00,orders.placed,393324.0
2026-05-05 13:06:32.197000+00:00,orders.placed,392582.0
2026-05-05 13:06:42.197000+00:00,orders.placed,392003.0
2026-05-05 13:06:52.197000+00:00,orders.placed,393502.0
2026-05-05 13:07:02.197000+00:00,orders.placed,396243.0
